type,count,amount,state,year,quarter,source,category,country,date,avg_transaction_value,growth
recharge & bill payments,285310032,116344996244.26738,All,2019,4,aggregated,transaction,india,2019-Q4,407.7844561885836,-0.37511254888430734
financial services,2476840,551204225.4200497,All,2019,4,aggregated,transaction,india,2019-Q4,222.5433315918871,-0.9913187770418111
others,12583379,4811822509.649999,All,2019,4,aggregated,transaction,india,2019-Q4,382.3951030681027,4.080416579189612
peer-to-peer payments,693998661,2270794857506.6895,All,2020,1,aggregated,transaction,india,2020-Q1,3272.1537400218867,54.15201131587946
merchant payments,566355270,231298042209.8361,All,2020,1,aggregated,transaction,india,2020-Q1,408.39743966686507,-0.1839245493875672
recharge & bill payments,351300991,140373550367.1558,All,2020,1,aggregated,transaction,india,2020-Q1,399.5819936846002,-0.3797162141706565
financial services,1358171,773848137.0300016,All,2020,1,aggregated,transaction,india,2020-Q1,569.7722429870772,-0.996133882241169
others,10027019,4116905195.820729,All,2020,1,aggregated,transaction,india,2020-Q1,410.5811703179907,6.382736783512533
peer-to-peer payments,631031364,2243915932390.771,All,2020,2,aggregated,transaction,india,2020-Q2,3555.9499264299184,61.93309746396212
recharge & bill payments,448842692,171590686463.15784,All,2020,2,aggregated,transaction,india,2020-Q2,382.2958232840245,-0.2887157158800113
merchant payments,363275861,226908226049.514,All,2020,2,aggregated,transaction,india,2020-Q2,624.6168556999553,-0.19063879734506184
financial services,1682062,1751767444.1000087,All,2020,2,aggregated,transaction,india,2020-Q2,1041.4404725271772,-0.9953697391415721
others,3779461,1987466180.2098684,All,2020,2,aggregated,transaction,india,2020-Q2,525.8596874553987,1.2469213382146438
peer-to-peer payments,916790263,2270794857506.6895,All,2020,3,aggregated,transaction,india,2020-Q3,2476.9790930483864,241.57169554071334
merchant payments,672019839,405291207894.2984,All,2020,3,aggregated,transaction,india,2020-Q3,603.0941117711533,-0.26698628233576693
recharge & bill payments,436172619,204262355709.72183,All,2020,3,aggregated,transaction,india,2020-Q3,468.3062320097673,-0.3509527640596932
financial services,2531978,2673063432.9600067,All,2020,3,aggregated,transaction,india,2020-Q3,1055.7214292383294,-0.994195009292869
others,5541374,2789907563.6502213,All,2020,3,aggregated,transaction,india,2020-Q3,503.46855556947094,1.1885553507968867
peer-to-peer payments,1249512647,2270794857506.6895,All,2020,4,aggregated,transaction,india,2020-Q4,1817.4048254841966,224.48787484836794
merchant payments,1127490136,684873639322.252,All,2020,4,aggregated,transaction,india,2020-Q4,607.4320452611498,-0.09765608318808794
recharge & bill payments,479784084,227875840842.1121,All,2020,4,aggregated,transaction,india,2020-Q4,474.9549817123823,-0.5744671561366104
financial services,2942567,3259168195.749941,All,2020,4,aggregated,transaction,india,2020-Q4,1107.5935384818565,-0.9938668932585933
others,9556404,5323095366.309718,All,2020,4,aggregated,transaction,india,2020-Q4,557.0186616545008,2.247641939843681
merchant payments,1467948823,844466633896.8679,All,2021,1,aggregated,transaction,india,2021-Q1,575.2698055038857,152.60891220170265
peer-to-peer payments,1447600942,2270794857506.6895,All,2021,1,aggregated,transaction,india,2021-Q1,1568.7129292855432,-0.013861437593182369
recharge & bill payments,530118545,260182440730.4327,All,2021,1,aggregated,transaction,india,2021-Q1,490.8004882765094,-0.633795109122
financial services,3075296,3573884778.5300817,All,2021,1,aggregated,transaction,india,2021-Q1,1162.127085825261,-0.9941988522586019
others,8851525,5199901891.890039,All,2021,1,aggregated,transaction,india,2021-Q1,587.458307115445,1.878267652934872
peer-to-peer payments,1744272888,2270794857506.6895,All,2021,2,aggregated,transaction,india,2021-Q2,1301.900826289362,196.05902519622325
merchant payments,1499626469,1003530942287.5988,All,2021,2,aggregated,transaction,india,2021-Q2,669.1872696517461,-0.1402569636225407
recharge & bill payments,685024821,300559461295.9022,All,2021,2,aggregated,transaction,india,2021-Q2,438.7570378211189,-0.543203034115024
financial services,3397384,3651996523.449996,All,2021,2,aggregated,transaction,india,2021-Q2,1074.9436988724253,-0.9950404950363105
others,9061732,5598131364.820071,All,2021,2,aggregated,transaction,india,2021-Q2,617.7771936777727,1.667267521128021
merchant payments,2316924871,1426965558783.5557,All,2021,3,aggregated,transaction,india,2021-Q3,615.8877124779915,254.682343176779
peer-to-peer payments,2215575286,2270794857506.6895,All,2021,3,aggregated,transaction,india,2021-Q3,1024.9574133231831,-0.043743146904999475
recharge & bill payments,714583744,349234592690.4992,All,2021,3,aggregated,transaction,india,2021-Q3,488.7245135686983,-0.6774725966138981
financial services,3112160,4043342762.3300233,All,2021,3,aggregated,transaction,india,2021-Q3,1299.2078692387356,-0.9956447931734647
others,13558464,7146868847.2897215,All,2021,3,aggregated,transaction,india,2021-Q3,527.1149333205975,3.3566089147087554
merchant payments,3152394530,1995855822160.6423,All,2021,4,aggregated,transaction,india,2021-Q4,633.1237423383812,231.50380942856063
peer-to-peer payments,2716561423,2270794857506.6895,All,2021,4,aggregated,transaction,india,2021-Q4,835.9355672707466,-0.1382546197350495
recharge & bill payments,738096162,407266894783.1069,All,2021,4,aggregated,transaction,india,2021-Q4,551.7802635357788,-0.7282976354773922
financial services,4141629,5028434834.240034,All,2021,4,aggregated,transaction,india,2021-Q4,1214.120056200117,-0.9943887677334922
others,14562602,9296993478.869576,All,2021,4,aggregated,transaction,india,2021-Q4,638.4156814056702,2.5161531851356074
merchant payments,3748851071,2270794857506.6895,All,2022,1,aggregated,transaction,india,2022-Q1,605.7510077495772,256.43003008665625
peer-to-peer payments,3074250150,2270794857506.6895,All,2022,1,aggregated,transaction,india,2022-Q1,738.6745395983249,-0.17994871181160343
recharge & bill payments,749674246,447599848131.4119,All,2022,1,aggregated,transaction,india,2022-Q1,597.0591233721159,-0.7561440320658357
financial services,4035100,4921211866.489969,All,2022,1,aggregated,transaction,india,2022-Q1,1219.6009681271764,-0.9946175288513246
others,16393502,8422766458.459174,All,2022,1,aggregated,transaction,india,2022-Q1,513.7868930298831,3.06272508735843
merchant payments,4765203787,2270794857506.6895,All,2022,2,aggregated,transaction,india,2022-Q2,476.55261257797946,289.67637817715826
peer-to-peer payments,3506141323,2270794857506.6895,All,2022,2,aggregated,transaction,india,2022-Q2,647.6836228091001,-0.26422006702732437
