name,count,amount,state,year,quarter,source,category,country,date,avg_transaction_value,growth
arunachal pradesh,258656,752655874.3550282,All,2019,2,map,transaction,india,2019-Q2,2909.8720863039257,-0.663401614437543
delhi,57171512,81706816063.62862,All,2019,2,map,transaction,india,2019-Q2,1429.1526182415573,220.03300136088086
uttarakhand,4813275,8588532850.918488,All,2019,2,map,transaction,india,2019-Q2,1784.3428540689006,-0.9158099054648057
puducherry,716826,1460708357.4554102,All,2019,3,map,transaction,india,2019-Q3,2037.7446653098664,-0.851073125886221
tamil nadu,41410183,78959604643.63503,All,2019,3,map,transaction,india,2019-Q3,1906.767826735637,56.768807214024044
uttar pradesh,68623959,111268137475.02844,All,2019,3,map,transaction,india,2019-Q3,1621.4182203482087,0.6571759414827991
madhya pradesh,53610411,77676321491.22867,All,2019,3,map,transaction,india,2019-Q3,1448.9036745349456,-0.21877997449841102
andhra pradesh,76288614,139447944254.78943,All,2019,3,map,transaction,india,2019-Q3,1827.8998259791354,0.4230186371822444
tripura,711717,1017377422.817224,All,2019,3,map,transaction,india,2019-Q3,1429.4690485364604,-0.9906707310215388
lakshadweep,3104,9651761.463768473,All,2019,3,map,transaction,india,2019-Q3,3109.4592344614925,-0.9956387159503005
manipur,345008,863552002.562933,All,2019,3,map,transaction,india,2019-Q3,2502.9912424144745,110.14948453608247
maharashtra,148735581,199617506744.94272,All,2019,3,map,transaction,india,2019-Q3,1342.0965272925698,430.107629388304
dadra & nagar haveli & daman & diu,638751,961471473.8483732,All,2019,3,map,transaction,india,2019-Q3,1505.236741466351,-0.9957054593412991
meghalaya,306550,612218602.153532,All,2019,3,map,transaction,india,2019-Q3,1997.1247827549569,-0.5200790292304827
andaman & nicobar islands,33770,114071776.08729392,All,2019,3,map,transaction,india,2019-Q3,3377.9027565085557,-0.8898385255260153
haryana,30343531,52489119199.44011,All,2019,3,map,transaction,india,2019-Q3,1729.8289773672059,897.535119928931
rajasthan,67303617,112468290031.92345,All,2019,3,map,transaction,india,2019-Q3,1671.0586302059137,1.2180548796381014
ladakh,92396,331129527.19382226,All,2019,3,map,transaction,india,2019-Q3,3583.8080349130078,-0.998627176307627
punjab,10706812,22905815605.843315,All,2019,3,map,transaction,india,2019-Q3,2139.3684325309264,114.87960517771332
assam,5942571,12950443620.42658,All,2019,3,map,transaction,india,2019-Q3,2179.2661156974955,-0.44497288268440693
