name,count,amount,state,year,quarter,source,category,level,country,date,avg_transaction_value,growth
kerala,35667,59699082.30149983,All,2022,2,top,insurance,states,india,2022-Q2,1674.8027512826923,-0.21782894736842107
west bengal,33542,41737021.0,All,2022,2,top,insurance,states,india,2022-Q2,1244.3211794168506,-0.05957888244035103
andhra pradesh,32185,41708072.0,All,2022,2,top,insurance,states,india,2022-Q2,1295.88541245922,-0.040456740802575886
delhi,26378,31787281.0,All,2022,2,top,insurance,states,india,2022-Q2,1205.0678974903328,-0.18042566412925276
gujarat,25381,32090965.0,All,2022,2,top,insurance,states,india,2022-Q2,1264.369607186478,-0.03779664872242017
bengaluru urban,57934,59699082.30149983,All,2022,2,top,insurance,districts,india,2022-Q2,1031.090374046325,1.2825735786612031
pune,18712,24072589.0,All,2022,2,top,insurance,districts,india,2022-Q2,1286.4786767849507,-0.6770117720164325
thane,12306,14514282.0,All,2022,2,top,insurance,districts,india,2022-Q2,1179.4475865431498,-0.3423471569046601
rangareddy,10065,13653367.0,All,2022,2,top,insurance,districts,india,2022-Q2,1356.5193243914555,-0.182106289614822
mumbai suburban,9944,10743651.0,All,2022,2,top,insurance,districts,india,2022-Q2,1080.4154263877715,-0.012021857923497303
hyderabad,9542,11365866.0,All,2022,2,top,insurance,districts,india,2022-Q2,1191.1408509746384,-0.04042638777152052
chennai,8966,9428379.0,All,2022,2,top,insurance,districts,india,2022-Q2,1051.5702654472452,-0.060364703416474486
medchal malkajgiri,8919,11248856.0,All,2022,2,top,insurance,districts,india,2022-Q2,1261.223904025115,-0.005242025429399999
jaipur,7224,9069667.0,All,2022,2,top,insurance,districts,india,2022-Q2,1255.4910022148395,-0.1900437268752102
ahmadabad,6962,8565312.0,All,2022,2,top,insurance,districts,india,2022-Q2,1230.2947428899743,-0.03626799557032112
560068,2692,3077564.0,All,2022,2,top,insurance,pincodes,india,2022-Q2,1143.2258543833582,-0.6133295030163746
