name,count,amount,state,year,quarter,country,date,avg_transaction_value,growth
lakshadweep,1747,4580.0,All,2019,2,india,2019-Q2,2.621637092157985,-0.9919731304331845
manipur,117747,464829.0,All,2019,2,india,2019-Q2,3.9476929348518435,66.39954207212364
maharashtra,18776975,109967705.0,All,2019,2,india,2019-Q2,5.856518688446887,158.46881873848167
dadra & nagar haveli & daman & diu,158580,860686.0,All,2019,2,india,2019-Q2,5.427456173540169,-0.9915545501871308
meghalaya,74746,395764.0,All,2019,2,india,2019-Q2,5.294785005217671,-0.5286543069743979
andaman & nicobar islands,21731,52640.0,All,2019,2,india,2019-Q2,2.422345957388063,-0.7092687234099484
haryana,5178030,31929195.0,All,2019,2,india,2019-Q2,6.166282350623693,237.27849615756293
rajasthan,8783935,62787336.0,All,2019,2,india,2019-Q2,7.147973658730399,0.6963854979596487
ladakh,35516,157317.0,All,2019,2,india,2019-Q2,4.429468408604572,-0.9959567096067993
punjab,2600112,10928094.0,All,2019,2,india,2019-Q2,4.2029320275434285,72.20959567518865
assam,1500128,7350326.0,All,2019,2,india,2019-Q2,4.899799217133471,-0.4230525454288123
jharkhand,2604854,14929066.0,All,2019,2,india,2019-Q2,5.73124866115337,0.7364211587277885
odisha,4845359,33955545.0,All,2019,2,india,2019-Q2,7.007849160402769,0.8601269015461135
bihar,6589759,39607022.0,All,2019,2,india,2019-Q2,6.010390061305732,0.3600146036650742
kerala,2550167,8673220.0,All,2019,2,india,2019-Q2,3.4010400103208926,-0.6130105820258374
karnataka,11968087,113024811.0,All,2019,2,india,2019-Q2,9.443849380439831,3.693060101554133
chandigarh,240439,1220176.0,All,2019,2,india,2019-Q2,5.074784040858596,-0.979909988956464
telangana,9046007,80842302.0,All,2019,2,india,2019-Q2,8.9367941015301,36.62287732023507
himachal pradesh,772603,3321711.0,All,2019,2,india,2019-Q2,4.299376264394521,-0.9145918193518975
west bengal,8612795,49514201.0,All,2019,2,india,2019-Q2,5.748912054681436,10.14776282256217
gujarat,7574645,34890301.0,All,2019,2,india,2019-Q2,4.6061961979736346,-0.12053578426051004
sikkim,70999,398520.0,All,2019,2,india,2019-Q2,5.613036803335258,-0.9906267554453047
nagaland,66891,362497.0,All,2019,2,india,2019-Q2,5.419219326964764,-0.05785996985873043
mizoram,28696,133025.0,All,2019,2,india,2019-Q2,4.635663507109005,-0.5710035729769326
chhattisgarh,2191066,13206373.0,All,2019,2,india,2019-Q2,6.027373433753251,75.35440479509339
jammu & kashmir,631193,2705373.0,All,2019,2,india,2019-Q2,4.286126430426193,-0.7119242414422934
goa,278940,1352232.0,All,2019,2,india,2019-Q2,4.847752204775221,-0.5580749469655082
arunachal pradesh,95885,502873.0,All,2019,2,india,2019-Q2,5.244542942066016,-0.656252240625224
delhi,6165448,43731570.0,All,2019,2,india,2019-Q2,7.093007677625373,63.30044323929708
uttarakhand,1414339,7454279.0,All,2019,2,india,2019-Q2,5.270503747687082,-0.7706023958031922
puducherry,177868,2476922.0,All,2019,3,india,2019-Q3,13.925618998358333,-0.8742394857244268
tamil nadu,8428835,124690342.0,All,2019,3,india,2019-Q3,14.793306785575943,46.38814739019947
uttar pradesh,16044607,268142606.0,All,2019,3,india,2019-Q3,16.712319971439623,0.9035379147889357
madhya pradesh,8180664,192353380.0,All,2019,3,india,2019-Q3,23.5131744807023,-0.4901299857329008
andhra pradesh,10458693,310953542.0,All,2019,3,india,2019-Q3,29.731587111314962,0.27846504880288436
tripura,245456,3350991.0,All,2019,3,india,2019-Q3,13.652104654194641,-0.9765309106979237
lakshadweep,2117,15038.0,All,2019,3,india,2019-Q3,7.103448275862069,-0.991375236294896
manipur,136316,1594205.0,All,2019,3,india,2019-Q3,11.694922092784413,63.39111950873878
maharashtra,21313081,439998413.0,All,2019,3,india,2019-Q3,20.644524036670248,155.35054579066286
dadra & nagar haveli & daman & diu,176929,3126189.0,All,2019,3,india,2019-Q3,17.669172379881196,-0.9916985723462507
meghalaya,87395,1387814.0,All,2019,3,india,2019-Q3,15.879787173179244,-0.506044797630688
andaman & nicobar islands,23931,171107.0,All,2019,3,india,2019-Q3,7.150014625381305,-0.726174266262372
haryana,5783752,118332587.0,All,2019,3,india,2019-Q3,20.459484950253746,240.68450963185825
rajasthan,9797304,238338999.0,All,2019,3,india,2019-Q3,24.326998427322454,0.6939357012541341
ladakh,39173,503126.0,All,2019,3,india,2019-Q3,12.843693360222602,-0.9960016551492125
punjab,2962713,40860886.0,All,2019,3,india,2019-Q3,13.791712528348173,74.63150639471064
assam,1731523,25393673.0,All,2019,3,india,2019-Q3,14.665512961710586,-0.4155616828224671
jharkhand,2915511,55504460.0,All,2019,3,india,2019-Q3,19.037643829846637,0.6837841599562928
odisha,5387209,130181456.0,All,2019,3,india,2019-Q3,24.16491656440283,0.847775227052822
bihar,7380265,126521298.0,All,2019,3,india,2019-Q3,17.14319174175995,0.36996077189505727
kerala,2990963,31471694.0,All,2019,3,india,2019-Q3,10.522261224896463,-0.5947350129026532
karnataka,13635075,445683660.0,All,2019,3,india,2019-Q3,32.68655727966293,3.5587574971673
chandigarh,267337,4625196.0,All,2019,3,india,2019-Q3,17.300994624762005,-0.9803934338461652
telangana,10090557,318124511.0,All,2019,3,india,2019-Q3,31.52695247645893,36.74470799028941
himachal pradesh,876184,10720741.0,All,2019,3,india,2019-Q3,12.23571875313861,-0.913167925219589
west bengal,9643222,176559011.0,All,2019,3,india,2019-Q3,18.309130599710347,10.005932543849237
gujarat,8429299,129441484.0,All,2019,3,india,2019-Q3,15.356138630270442,-0.12588354805064117
sikkim,82128,1316804.0,All,2019,3,india,2019-Q3,16.033557373855444,-0.9902568410492972
nagaland,80077,1244022.0,All,2019,3,india,2019-Q3,15.535322252332131,-0.024973212546269274
mizoram,34134,457834.0,All,2019,3,india,2019-Q3,13.412843499150407,-0.573735279793199
chhattisgarh,2435058,46362341.0,All,2019,3,india,2019-Q3,19.039522261892735,70.33819651959922
jammu & kashmir,658455,3843919.0,All,2019,3,india,2019-Q3,5.83778542193468,-0.7295937098828857
goa,317194,4753892.0,All,2019,3,india,2019-Q3,14.987332673379699,-0.518275356706229
arunachal pradesh,112149,1811700.0,All,2019,3,india,2019-Q3,16.154401733408232,-0.6464340435191082
delhi,6782286,163381027.0,All,2019,3,india,2019-Q3,24.0893744380582,59.475670759436106
uttarakhand,1585859,24660988.0,All,2019,3,india,2019-Q3,15.550555251128884,-0.7661763305174686
puducherry,204292,3263122.0,All,2019,4,india,2019-Q4,15.972833003739746,-0.871178963577468
tamil nadu,9620493,155011717.0,All,2019,4,india,2019-Q4,16.112658363765764,46.09187339690247
uttar pradesh,17949542,324068625.0,All,2019,4,india,2019-Q4,18.054423059931,0.8657611413469144
madhya pradesh,9165241,237844976.0,All,2019,4,india,2019-Q4,25.950760705583193,-0.48938858718512146
andhra pradesh,11757883,411201518.0,All,2019,4,india,2019-Q4,34.97241110495826,0.28287766791947977
tripura,272298,3610807.0,All,2019,4,india,2019-Q4,13.260497690030775,-0.9768412391924635
lakshadweep,2427,17760.0,All,2019,4,india,2019-Q4,7.3176761433868975,-0.9910869708921843
manipur,155358,1855488.0,All,2019,4,india,2019-Q4,11.943305140385432,63.0123609394314
maharashtra,23745297,543654112.0,All,2019,4,india,2019-Q4,22.89523319080827,151.84244776580542
dadra & nagar haveli & daman & diu,197598,3770543.0,All,2019,4,india,2019-Q4,19.081888480652637,-0.9916784363657359
meghalaya,100030,1490542.0,All,2019,4,india,2019-Q4,14.900949715085474,-0.49377017986012006
andaman & nicobar islands,25960,177012.0,All,2019,4,india,2019-Q4,6.81864406779661,-0.740477856643007
haryana,6366679,136721888.0,All,2019,4,india,2019-Q4,21.47460049422941,244.24957627118644
rajasthan,10925031,288904693.0,All,2019,4,india,2019-Q4,26.444290455560264,0.7159701313667612
ladakh,43108,470440.0,All,2019,4,india,2019-Q4,10.913055581330612,-0.9960541988393442
punjab,3321742,47673880.0,All,2019,4,india,2019-Q4,14.352071894807002,76.05627725712165
assam,1941220,26599449.0,All,2019,4,india,2019-Q4,13.702439187727306,-0.41560181374712424
jharkhand,3281371,70181789.0,All,2019,4,india,2019-Q4,21.387946989231025,0.6903653372621341
odisha,6115537,189905719.0,All,2019,4,india,2019-Q4,31.052991585203394,0.8637139780902556
bihar,8342274,163998097.0,All,2019,4,india,2019-Q4,19.658680235149312,0.36411144270732065
kerala,3503938,40046033.0,All,2019,4,india,2019-Q4,11.428864608905752,-0.5799780731249058
karnataka,15385416,553571171.6692431,All,2019,4,india,2019-Q4,35.995742520383885,3.390892761230364
chandigarh,289590,4960441.0,All,2019,4,india,2019-Q4,17.129186090679926,-0.9811776295161599
telangana,11220691,399239044.0,All,2019,4,india,2019-Q4,35.58061121191199,37.746817914983254
himachal pradesh,985945,12637904.0,All,2019,4,india,2019-Q4,12.81806185943435,-0.912131525589645
west bengal,10885058,244326613.0,All,2019,4,india,2019-Q4,22.44605522542921,10.040228410306863
gujarat,9323799,147973757.0,All,2019,4,india,2019-Q4,15.870543434065878,-0.14343139007619432
sikkim,92972,1552004.0,All,2019,4,india,2019-Q4,16.693240975777652,-0.9900285280710148
nagaland,93124,1454551.0,All,2019,4,india,2019-Q4,15.619507323568575,0.0016349008303575552
mizoram,39809,529168.0,All,2019,4,india,2019-Q4,13.292672511241177,-0.5725162149392209
chhattisgarh,2725900,57278977.0,All,2019,4,india,2019-Q4,21.012868043581935,67.4744655731116
jammu & kashmir,673367,998572.0,All,2019,4,india,2019-Q4,1.4829535750935225,-0.7529744304633332
goa,353546,6290543.0,All,2019,4,india,2019-Q4,17.792714385115374,-0.4749579352715533
arunachal pradesh,129321,2140340.0,All,2019,4,india,2019-Q4,16.550598897317528,-0.634217329569561
delhi,7289883,172682671.0,All,2019,4,india,2019-Q4,23.6879893682793,55.37045027489735
