name,count,amount,state,year,quarter,source,category,level,country,date,avg_transaction_value,growth
west bengal,66444829,70540532616.82985,All,2019,3,top,transaction,states,india,2019-Q3,1061.640667580465,-0.012759908579653256
madhya pradesh,53610411,77676321491.22867,All,2019,3,top,transaction,states,india,2019-Q3,1448.9036745349456,-0.19315901919169665
odisha,41422272,57304577359.21709,All,2019,3,top,transaction,states,india,2019-Q3,1383.4242930763694,-0.2273464943217839
bengaluru urban,131234422,150244275641.79712,All,2019,3,top,transaction,districts,india,2019-Q3,1144.8541728007697,2.168209170177821
pune,67093416,78128868958.39702,All,2019,3,top,transaction,districts,india,2019-Q3,1164.4789253001668,-0.48875138871720714
hyderabad,55159072,96365182751.25804,All,2019,3,top,transaction,districts,india,2019-Q3,1747.0414069195733,-0.17787652964338563
jaipur,36334520,58402103360.67965,All,2019,3,top,transaction,districts,india,2019-Q3,1607.3448434348286,-0.34127753273296546
new delhi,24687138,43288057341.92169,All,2019,3,top,transaction,districts,india,2019-Q3,1753.4660089768888,-0.32055967713348077
rangareddy,23655175,33663962263.155968,All,2019,3,top,transaction,districts,india,2019-Q3,1423.1119517465404,-0.041801645861095804
khordha,18364742,25509656902.49331,All,2019,3,top,transaction,districts,india,2019-Q3,1389.0561001343394,-0.22364801782273858
medchal malkajgiri,17492750,23256556346.306458,All,2019,3,top,transaction,districts,india,2019-Q3,1329.4968684916012,-0.04748185408757721
visakhapatnam,16694947,26944837120.046288,All,2019,3,top,transaction,districts,india,2019-Q3,1613.9516417779755,-0.045607637449800675
kolkata,16306691,21451201632.24876,All,2019,3,top,transaction,districts,india,2019-Q3,1315.4846456738992,-0.023255898925585106
560001,34182229,49823702321.09828,All,2019,3,top,transaction,pincodes,india,2019-Q3,1457.5907943597908,1.0962087893859032
500012,27360144,55516914964.120514,All,2019,3,top,transaction,pincodes,india,2019-Q3,2029.1163293629052,-0.19957987526208432
411006,25995035,42031275308.282005,All,2019,3,top,transaction,pincodes,india,2019-Q3,1616.8962768575616,-0.049894072194941685
110011,20159577,36968948004.60185,All,2019,3,top,transaction,pincodes,india,2019-Q3,1833.815660150104,-0.22448356003367564
302001,15037317,31903765546.790287,All,2019,3,top,transaction,pincodes,india,2019-Q3,2121.6394884001106,-0.2540856884050692
700009,11494363,14573984421.133257,All,2019,3,top,transaction,pincodes,india,2019-Q3,1267.924496653991,-0.23561078083277753
751002,9990982,16300297217.157503,All,2019,3,top,transaction,pincodes,india,2019-Q3,1631.5010093259605,-0.13079289387328386
800015,8554034,21451659382.23745,All,2019,3,top,transaction,pincodes,india,2019-Q3,2507.7828054269426,-0.14382450093494314
400008,7234595,14467758895.186302,All,2019,3,top,transaction,pincodes,india,2019-Q3,1999.8021859117619,-0.15424757488688967
226004,6687157,17110382946.6282,All,2019,3,top,transaction,pincodes,india,2019-Q3,2558.693170599733,-0.07566947424147452
karnataka,237796252,295047143447.2384,All,2019,4,top,transaction,states,india,2019-Q4,1240.7560714928275,34.56014192578401
maharashtra,201260620,272994428799.56488,All,2019,4,top,transaction,states,india,2019-Q4,1356.42247748002,-0.153642589791533
telangana,163572258,280746765547.7425,All,2019,4,top,transaction,states,india,2019-Q4,1716.3470687538133,-0.18726148215184868
andhra pradesh,107218103,200948315488.8052,All,2019,4,top,transaction,states,india,2019-Q4,1874.2013696027173,-0.3445214713609932
west bengal,96805838,88203610254.64601,All,2019,4,top,transaction,states,india,2019-Q4,911.1393700723505,-0.09711293810150701
uttar pradesh,86905005,145538926507.3059,All,2019,4,top,transaction,states,india,2019-Q4,1674.6898122531138,-0.10227516443791329
rajasthan,85074242,159452410049.68317,All,2019,4,top,transaction,states,india,2019-Q4,1874.273649710369,-0.021066255044804416
delhi,80744997,129024467424.89066,All,2019,4,top,transaction,states,india,2019-Q4,1597.9252240840465,-0.05088784687614378
madhya pradesh,68131989,104687926790.8659,All,2019,4,top,transaction,states,india,2019-Q4,1536.5458770162413,-0.15620791960646185
odisha,64995633,79769373632.04843,All,2019,4,top,transaction,states,india,2019-Q4,1227.3035887203134,-0.04603353059309634
bengaluru urban,180458808,199966708446.8142,All,2019,4,top,transaction,districts,india,2019-Q4,1108.1016807271287,1.776475890310969
pune,91666565,103270644868.1607,All,2019,4,top,transaction,districts,india,2019-Q4,1126.5901025980488,-0.4920360717444171
hyderabad,72987282,130230415629.3025,All,2019,4,top,transaction,districts,india,2019-Q4,1784.2891536816305,-0.20377422236777387
jaipur,44335592,81782144762.48987,All,2019,4,top,transaction,districts,india,2019-Q4,1844.61605390292,-0.3925572951188948
rangareddy,31237803,44757331443.568375,All,2019,4,top,transaction,districts,india,2019-Q4,1432.7938313577422,-0.2954237985589546
new delhi,29048107,54398427887.76768,All,2019,4,top,transaction,districts,india,2019-Q4,1872.7013050374567,-0.0700976313859204
khordha,27477393,34227232121.52864,All,2019,4,top,transaction,districts,india,2019-Q4,1245.6506380182661,-0.05407285232046277
